000889899|Academic and Behavioral Clinic Inc.|Boston|MA|United States|PC
015606536|Canton Youth Lacrosse Club Inc.|Canton|MA|United States|PC
030455496|Masconomet Alumni Association Inc.|Middleton|MA|United States|PC
042103547|Trustees of Boston University|Boston|MA|United States|PC
042104257|East Boston Social Centers Inc.|East Boston|MA|United States|PC
042105844|Carleton Willard Homes Inc.|Bedford|MA|United States|PC
042142692|Woodland Dell Cemetery Association|Wilbraham|MA|United States|EO
042263744|Brookline Community Mental Health Center Inc.|Brookline|MA|United States|PC
042395620|Williamstown Cooperative Nursery Inc.|Williamstown|MA|United States|PC
042485199|Gloucester Stage Co Inc.|Gloucester|MA|United States|PC
042546540|Childrens Center of Weston Inc.|Weston|MA|United States|PC
042595597|Blackstone School Community Council Inc.|Boston|MA|United States|PC
042621713|Opera New England of Cape Cod Inc.|Marstons Mls|MA|United States|PC
042647063|Brookline Conservation Land Trust|Boston|MA|United States|SOUNK
042673224|Apostolic Pentecostal Assembly Church of Worcester|Worcester|MA|United States|PC
042696923|Bristol County Bar Advocates Inc.|New Bedford|MA|United States|PC
042718093|Greater Lowell Christian Center of the Assembliesof God|Dracut|MA|United States|PC
042738943|Class of 61 Inc.|Boston|MA|United States|PC
042760377|Zoryan Institute for Contemp Armen Research & Documen Inc.|Arlington|MA|United States|PC
042775827|Friends of the Walpole Public Library|Walpole|MA|United States|PC
042799970|New England Educational Institute|Lenox|MA|United States|PC
042881804|Andover Chinese Cultural Exchange Inc.|Andover|MA|United States|PC
042932552|Massachusetts Organization of Educational Collaboratives|Dedham|MA|United States|PC
042974302|Berkshire Hills Community Church|Pittsfield|MA|United States|PC
043017940|Lynch Foundation|Marblehead|MA|United States|PC
043057449|Carpenters Local 108 Scholarship Fund|Springfield|MA|United States|PC
043090478|Danvers Educational Enrichment Program Inc.|Danvers|MA|United States|PF
043113668|Haitian Baptist Church of Allston- brighton|Medford|MA|United States|PC
043137512|Billerica Youth Soccer Association|Billerica|MA|United States|PC
043164739|Natick High School Boosters Club Inc.|Natick|MA|United States|PC
043182556|Nuestras Raices Inc.|Holyoke|MA|United States|PC
043209103|Central Massachusetts Search and Rescue Team Inc.|Boylston|MA|United States|PC
043232397|Falmouth Volunteers in Public Schools Inc.|Falmouth|MA|United States|SOUNK
043249933|H E A R T S of the Father Outreach Inc.|Sheffield|MA|United States|PC
043268133|Friends of the Millis Library|Millis|MA|United States|PC
043285979|Friends of the Paragon Carousel Inc.|Hull|MA|United States|PC
043302065|Igbo Organization of New England Inc.|Boston|MA|United States|PC
043323579|Egleston Square Main Streets|Roxbury|MA|United States|PC
043341331|Granite Medical Group Inc.|Quincy|MA|United States|PC
043369620|Goessel Family Foundation Inc.|Lenox|MA|United States|PF
043394050|Gurdwara Guru Nanak Darbar Inc.|Medford|MA|United States|PC
043409527|Running Deer Foundation|Boston|MA|United States|PF
043428721|Hopkinton Community Endowment Inc.|Hopkinton|MA|United States|PC
043448700|Resthaven Corporation|Roxbury|MA|United States|SOUNK
043470310|Om Temple Inc.|Carlisle|MA|United States|PC
043488694|Siochain Properties Inc.|East Boston|MA|United States|SOUNK
043504068|Worcester Fire Fighter Memorial Inc.|Worcester|MA|United States|PC
043521827|Skylur J Spagone Memorial Fund Inc.|E Bridgewtr|MA|United States|PC
043536245|Enlightenment Unlimited Inc.|Harvard|MA|United States|PC
043550699|Sweetpea Friends of Rutland Animals|Rutland|MA|United States|PC
043566439|Berkshire Life Charitable Foundation|Pittsfield|MA|United States|PF
043581341|Kevin T Szocik Scholarship Fund|Lunenburg|MA|United States|PF
046004208|Trustees of the Forbes Library|Northampton|MA|United States|PC
046042910|William and Cynthia Marcus Family Charitable Trust|Chestnut Hill|MA|United States|PF
046060657|Newburyport Art Association Inc.|Newburyport|MA|United States|PC
046112080|General Electric Company Empls Good Neighbor Fund of the River Works|Lynn|MA|United States|PC
046135489|Casavant Family Charitable Trust|Worcester|MA|United States|PF
046278585|Edith M Burbeck|Saugus|MA|United States|PF
046719383|Robert I Lappin 1992 Supporting Foundation|Salem|MA|United States|SOUNK
046901131|Rotary Club of Andover Charitable Tr|Andover|MA|United States|PC
060960516|Atlantic Round Incorporated|Newbury|MA|United States|PC
113722992|South Boston Community Development Foundation Inc.|South Boston|MA|United States|PC
136153690|Barbara Anne Kates Foundation Inc.|Boston|MA|United States|PF
200077536|Saturdays and Sundays Bread A Non- profit Corporation|Brookline|MA|United States|PC
200865491|New England Landscape Design and History Association Inc.|Wellesley|MA|United States|PC
201641844|Diaper Free Baby Inc.|Westwood|MA|United States|PC
202310543|Real Experience Incorporated|Westford|MA|United States|PC
203289868|33 Touchdown Club Inc.|Marlborough|MA|United States|PC
204035484|Soc of St. Vincent Depaul Taunton District Inc.|Taunton|MA|United States|PC
204956369|Sargent Family Foundation Inc.|Hopkinton|MA|United States|PF
205737571|Goal Setting Institute for Youth A Nonprofit Corporation|Groton|MA|United States|PC
208094704|Dwyer & Collora Fouondation Inc.|Boston|MA|United States|PF
222045842|Massachusetts Neuropsychological Society Inc.|Boston|MA|United States|PC
222524023|The Stratford Foundation|Boston|MA|United States|PF
222573786|Mid Cape Ice Arena Inc.|South Dennis|MA|United States|PC
222680028|Odwin Learning Center Inc.|Dorchestr Ctr|MA|United States|PC
222827291|Meadowedge Art for Children|Bernardston|MA|United States|PC
222986634|Marthas Vineyard Mediation Program|Vineyard Hvn|MA|United States|PC
223090536|Minute Man National Park Association Inc.|Concord|MA|United States|PC
223208708|Nisbet Family Foundation|No Falmouth|MA|United States|PF
223681278|The Cloud Artscience Foundation|Boston|MA|United States|POF
237089613|Philanthropic Association of Swansea Inc.|Swansea|MA|United States|PC
237209691|Boston Chinatown Neighborhood Center Inc.|Boston|MA|United States|PC
237365799|Church in Newton|Newton|MA|United States|PC
260201126|Holy Spirit Catholic Community|Natick|MA|United States|PC
261136563|Orpheus Singers Inc.|Somerville|MA|United States|PC
261830315|Open Shelves Food Pantry|Berkley|MA|United States|PC
262638695|Green Northampton|Northampton|MA|United States|PC
263302622|Land Conservation and Advocacy Trust Inc.|Framingham|MA|United States|PC
263899731|Life Skills and Family Initiative Inc.|Saugus|MA|United States|PC
264644550|Task Aid Incorporated|Westwood|MA|United States|PC
270408037|Greater Lowell Health Alliance of Chna 10 Inc.|Lowell|MA|United States|PC
271164796|Project Prakash Foundation|Cambridge|MA|United States|PC
271721474|Wcs - 222 Maple Avenue Inc.|Shrewsbury|MA|United States|SO
272361083|Winners Center|Boston|MA|United States|PC
273068514|Tsinghua Alumni Association at Greater Boston|Newton|MA|United States|PC
273800204|Nantucket Island Academy of Music Inc.|Nantucket|MA|United States|PC
275031908|Genius of Flexibility Inc.|Somerville|MA|United States|PC
300222843|Theyellowumbrella Org Inc.|Salem|MA|United States|PC
311093763|Volunteer Optometric Services to Humanity-Intl-Vosh Intl Inc.|Holden|MA|United States|PC
320110893|Yellowjackets Youth Organization A Non-Profit Corporation|Roxbury|MA|United States|PC
352346609|Serving Grace Foundation Inc.|Cambridge|MA|United States|PC
383749052|Praxis Institute for Social Justice Inc.|Medford|MA|United States|PC
431721856|Mediterranean Studies Association|N Dartmouth|MA|United States|PC
452401060|World Council for Animal Rights|Boston|MA|United States|PC
453306365|Helpis Inc.|Burlington|MA|United States|PC
454761903|Carver Music Boosters Inc.|Carver|MA|United States|PC
510179198|All-Saints Pentacostal House of Prayer Inc.|Mattapan|MA|United States|PC
521762747|Facioscapulohumeral Society|Watertown|MA|United States|PC
